variant	bear_pnl	bull_pnl	worst_year	total_pnl	score	status	description
baseline	-110.12	11838.75	-666.75	11728.63	11618.52	baseline	no market regime gate
market:drawdown@0.10	-114.98	8189.71	-754.42	8074.73	7959.76	discard	scope=market mode=drawdown thr=0.1
market:sma200	-92.95	8945.76	-731.76	8852.80	8759.85	discard	scope=market mode=sma200 thr=0.0
market:sma50	-206.80	8109.33	-473.82	7902.52	7695.72	discard	scope=market mode=sma50 thr=0.0
ticker:sma200	-165.76	8525.27	-540.46	8359.50	8193.74	discard	scope=ticker mode=sma200 thr=0.0
ticker:sma50	181.77	9033.14	-413.18	9214.90	9396.67	discard	scope=ticker mode=sma50 thr=0.0
ticker:drawdown@0.10	285.48	3979.04	-187.78	4264.52	4550.00	discard	scope=ticker mode=drawdown thr=0.1
ticker:drawdown@0.20	53.04	6850.01	-302.47	6903.05	6956.09	discard	scope=ticker mode=drawdown thr=0.2
volt@0.40/1.0	26.85	8734.13	-451.47	8760.98	8787.83	discard	vol target=0.4 clip=[0.35,1.0]
volt@0.45/1.0	12.69	9388.81	-531.58	9401.51	9414.20	discard	vol target=0.45 clip=[0.35,1.0]
volt@0.50/1.0	-0.85	9859.31	-520.20	9858.46	9857.62	discard	vol target=0.5 clip=[0.35,1.0]
volt@0.45/1.3	-44.12	11479.98	-575.88	11435.86	11391.74	discard	vol target=0.45 clip=[0.35,1.3]
volt@0.50/1.5	-194.49	13089.63	-661.32	12895.14	12700.65	keep	vol target=0.5 clip=[0.35,1.5]
volt@0.55/1.5	-158.46	13850.22	-765.89	13691.76	13533.30	keep	vol target=0.55 clip=[0.35,1.5]
stopsx1.25	-197.12	12316.90	-815.92	12119.78	11922.66	keep	all stop_loss_pct x1.25
stopsx1.5	-486.14	12949.10	-997.92	12462.96	11976.82	keep	all stop_loss_pct x1.5
stopsx2.0	-823.37	13638.09	-1039.23	12814.73	11991.36	keep	all stop_loss_pct x2.0
stopsx0.75	-162.03	10313.95	-556.23	10151.92	9989.89	discard	all stop_loss_pct x0.75
